Symbol	Description
02NG.L	STATOILHYDRO ASA 6.125% NOTES 27/11/28 GBP(VAR)
0A0B.L	AHLERS AG ORD NPV
0A0C.L	AHLERS AG NON VTG PREF NPV
0A1H.L	MILANO ASSICURAZIONI DI RISP EUR0.52(NON CV)
0A1U.L	
0A2K.L	AGUAS DE SABADELL SER`A`EUR12.02
0AH7.L	BAYWA AG NPV(VINK)
0AHI.L	CRCAM NORD DE FRANCE EUR3.05
0AI4.L	CARLSBERG `B`DKK20
0APM.L	DANIELI & C EUR1
0B4R.L	FUCHS PETROLUB AG NPV
0B67.L	GALP ENERGIA SGPS EUR1 CLS`B`
0BJP.L	IMPREGILO SPA NPV
0BNS.L	KESKO OYJ NPV SER`A`
0BNT.L	KESKO OYJ NPV SER`B`
0BQE.L	KSB AG NON VTG PRF
0CHZ.L	QSC AG NPV
0CIJ.L	RAISIO YHTYMA OYJ NPV(CNV)`V`
0CXC.L	STORA ENSO OYJ SER`R`NPV
0D53.L	FINANCIERE DE TUBIZE NPV
0DH7.L	AF GRUPPEN ASA NOK0.05
0DHC.L	CARL ZEISS MEDITEC AG NPV
0DHJ.L	AUTOGRILL SPA EUR0.52
0DI7.L	AFC AJAX NV EUR0.45
0DJI.L	ALM. BRAND DKK80
0DJV.L	ALTRI SGPS S.A. EUR0.25
0DK7.L	AMANDA CAPITAL OYJ NPV
0DK9.L	AMADEUS AG PERSONALDIENSTLEI NPV
0DKX.L	AEDIFICA NPV
0DLI.L	AMSTERDAM COMMODITIES NV EUR0.45
0DLT.L	AAREAL BANK EUR26
0DME.L	ASCOPIAVE SPA EUR1
0DNH.L	ATOS ORIGIN EUR1
0DNW.L	AUSTEVOLL SEAFOOD ASA NOK0.50
0DNZ.L	AUXIMINES NEW NPV(POST SPLIT)
0DO1.L	AVALON ENTERPRISE AB SER`B`NPV
0DO7.L	AVENIR TELECOM EUR0.20
0DOL.L	BIOFRONTERA AG NPV
0DOS.L	BANK HANDLOWY W WARSZAWIE PLN4
0DP0.L	BANK PEKAO SA PLN1
0DP4.L	BASWARE OYJ NPV
0DPB.L	BAVARIAN NORDIC RESEARCH INDSTITUTE DKK10
0DPM.L	BECHTLE AG NPV
0DPU.L	BELGACOM NPV
0DPW.L	BARON DE LEY EUR0.60
0DQ7.L	BEIERSDORF AG NPV
0DQK.L	BETER BED EUR0.02
